Time	Duty
0E-3    0%
5.76E-01	79%
5.77E-01	79%
5.78E-01	79%
5.79E-01	79%
5.80E-01	79%
5.81E-01	79%
5.82E-01	79%
5.83E-01	79%
5.84E-01	79%
5.85E-01	79%
5.86E-01	79%
5.87E-01	79%
5.88E-01	79%
5.89E-01	79%
5.90E-01	79%
5.91E-01	79%
5.92E-01	79%
5.93E-01	79%
5.94E-01	79%
5.95E-01	79%
5.96E-01	79%
5.97E-01	79%
5.98E-01	79%
5.99E-01	79%
6.00E-01	79%
6.01E-01	79%
6.02E-01	79%
6.03E-01	79%
6.04E-01	79%
6.05E-01	79%
6.06E-01	79%
6.07E-01	79%
6.08E-01	79%
6.09E-01	79%
6.10E-01	79%
6.11E-01	79%
6.12E-01	79%
6.13E-01	79%
6.14E-01	79%
6.15E-01	79%
6.16E-01	79%
6.17E-01	79%
6.18E-01	79%
6.19E-01	79%
6.20E-01	79%
6.21E-01	79%
6.22E-01	79%
6.23E-01	79%
6.24E-01	79%
6.25E-01	79%
6.26E-01	79%
6.27E-01	79%
6.28E-01	79%
6.29E-01	79%
6.30E-01	79%
6.31E-01	79%
6.32E-01	79%
6.33E-01	79%
6.34E-01	79%
6.35E-01	79%
6.36E-01	79%
6.37E-01	79%
6.38E-01	79%
6.39E-01	79%
6.40E-01	79%
6.41E-01	79%
6.42E-01	79%
6.43E-01	79%
6.44E-01	79%
6.45E-01	79%
6.46E-01	79%
6.47E-01	79%
6.48E-01	79%
6.49E-01	79%
6.50E-01	79%
6.51E-01	79%
6.52E-01	79%
6.53E-01	79%
6.54E-01	79%
6.55E-01	79%
6.56E-01	79%
6.57E-01	79%
6.58E-01	79%
6.59E-01	79%
6.60E-01	79%
6.61E-01	79%
6.62E-01	79%
6.63E-01	79%
6.64E-01	79%
6.65E-01	79%
6.66E-01	79%
6.67E-01	79%
6.68E-01	79%
6.69E-01	79%
6.70E-01	79%
6.71E-01	79%
6.72E-01	79%
6.73E-01	79%
6.74E-01	79%
6.75E-01	79%
6.76E-01	79%
6.77E-01	79%
6.78E-01	79%
