qTime	Current
1.06E-01	0.657812
1.07E-01	0.392969
1.08E-01	-0.0804688
1.09E-01	-0.28125
1.10E-01	0.100781
1.11E-01	0.184375
1.12E-01	0.401563
1.13E-01	0.646875
1.14E-01	0.809375
1.15E-01	0.821875
1.16E-01	0.671875
1.17E-01	0.385156
1.18E-01	-0.161719
1.19E-01	-0.25
1.20E-01	0.121094
1.21E-01	0.288281
1.22E-01	0.429688
1.23E-01	0.630469
1.24E-01	0.853906
1.25E-01	0.886719
1.26E-01	0.60625
1.27E-01	0.382812
1.28E-01	-0.2125
1.29E-01	-0.273438
1.30E-01	0.0984375
1.31E-01	0.263281
1.32E-01	0.495313
1.33E-01	0.720312
1.34E-01	0.86875
1.35E-01	0.824219
1.36E-01	0.664063
1.37E-01	0.382812
1.38E-01	-0.333594
1.39E-01	-0.25625
1.40E-01	0.129688
1.41E-01	0.226562
1.42E-01	0.505469
1.43E-01	0.742188
1.44E-01	0.846094
1.45E-01	0.825781
1.46E-01	0.617188
1.47E-01	0.320312
1.48E-01	-0.321094
1.49E-01	-0.266406
1.50E-01	0.122656
1.51E-01	0.216406
1.52E-01	0.503125
1.53E-01	0.716406
1.54E-01	0.882813
1.55E-01	0.874219
1.56E-01	0.585938
1.57E-01	0.277344
1.58E-01	-0.267187
1.59E-01	-0.25625
1.60E-01	0.132812
1.61E-01	0.255469
1.62E-01	0.54375
1.63E-01	0.815625
1.65E-01	1.0125
1.66E-01	0.947656
1.67E-01	0.642969
1.68E-01	0.232813
1.69E-01	-0.258594
1.70E-01	-0.248438
1.71E-01	0.115625
1.72E-01	0.236719
1.73E-01	0.535937
1.74E-01	0.826563
1.75E-01	1.02734
1.76E-01	0.900781
1.77E-01	0.55625
1.78E-01	0.0984375
1.79E-01	-0.300781
1.80E-01	-0.29375
1.81E-01	0.125
1.82E-01	0.228906
1.83E-01	0.552344
1.84E-01	0.889063
1.85E-01	0.929688
1.86E-01	0.746875
1.87E-01	0.54375
1.88E-01	0.0445312
1.89E-01	-0.272656
1.90E-01	-0.242188
1.91E-01	0.0890625
1.92E-01	0.196094
1.93E-01	0.452344
1.94E-01	0.717969
1.95E-01	0.899219
1.96E-01	0.80625
1.97E-01	0.36875
1.98E-01	-0.084375
1.99E-01	-0.248438
2.00E-01	-0.226562
2.01E-01	0.0820312
2.02E-01	0.161719
2.03E-01	0.466406
2.04E-01	0.742188
2.05E-01	0.799219
2.06E-01	0.674219
2.07E-01	0.500781
2.08E-01	-0.0289062
2.09E-01	-0.346094
2.10E-01	-0.291406
2.11E-01	0.0414063
2.12E-01	0.224219
2.13E-01	0.389844
2.14E-01	0.689844
2.15E-01	0.814062
2.16E-01	0.669531
2.17E-01	0.391406
2.18E-01	-0.0757812
2.19E-01	-0.342188
2.20E-01	-0.296875
2.21E-01	0.0523437
2.22E-01	0.153906
2.23E-01	0.357031
2.24E-01	0.667188
2.25E-01	0.80625
2.26E-01	0.586719
2.27E-01	0.430469
2.28E-01	-0.0734375
2.29E-01	-0.352344
2.30E-01	-0.278906
2.31E-01	0.0742188
2.32E-01	0.157812
2.33E-01	0.36875
2.34E-01	0.691406
2.35E-01	0.653125
2.36E-01	0.647656
2.37E-01	0.425781
2.38E-01	-0.244531
2.39E-01	-0.275
2.40E-01	-0.226562
2.41E-01	0.0585938
2.42E-01	0.160156
2.43E-01	0.427344
2.44E-01	0.539063
2.45E-01	0.78125
2.46E-01	0.630469
2.47E-01	0.257812
2.48E-01	-0.203906
2.49E-01	-0.3375
2.50E-01	-0.303906
2.51E-01	0.0585938
2.52E-01	0.166406
2.53E-01	0.353125
2.54E-01	0.604688
2.55E-01	0.721875
2.56E-01	0.647656
2.57E-01	0.302344
2.58E-01	-0.275
2.59E-01	-0.228125
2.60E-01	-0.253125
2.61E-01	0.0398438
2.62E-01	0.198438
2.63E-01	0.39375
2.64E-01	0.625
2.65E-01	0.645312
2.66E-01	0.559375
2.67E-01	0.379688
2.68E-01	-0.248438
2.69E-01	-0.260937
2.70E-01	-0.2625
2.71E-01	0.0414063
2.72E-01	0.149219
2.73E-01	0.389063
2.74E-01	0.589844
2.75E-01	0.696094
2.76E-01	0.575781
2.77E-01	0.340625
2.78E-01	-0.282812
2.79E-01	-0.314062
2.80E-01	-0.234375
2.81E-01	0.04375
2.82E-01	0.147656
2.83E-01	0.328906
2.84E-01	0.569531
2.85E-01	0.7125
2.86E-01	0.525781
2.87E-01	0.38125
2.88E-01	-0.273438
2.89E-01	-0.307812
2.90E-01	-0.232813
2.91E-01	0.0195312
2.92E-01	0.153125
2.93E-01	0.407812
2.94E-01	0.54375
2.95E-01	0.783594
2.96E-01	0.574219
2.97E-01	0.324219
2.98E-01	-0.29375
2.99E-01	-0.286719
3.00E-01	-0.209375
3.01E-01	0.0375
3.02E-01	0.161719
3.03E-01	0.378906
3.04E-01	0.586719
3.05E-01	0.674219
3.06E-01	0.557813
3.07E-01	0.322656
3.08E-01	-0.311719
3.09E-01	-0.276562
3.10E-01	-0.242188
3.11E-01	0.0484375
3.12E-01	0.139063
3.13E-01	0.336719
3.14E-01	0.60625
3.15E-01	0.739062
3.16E-01	0.492969
3.17E-01	0.346875
3.18E-01	-0.310938
3.19E-01	-0.26875
3.20E-01	-0.232813
3.21E-01	0.015625
3.22E-01	0.190625
