Time	Vin
0.01847	0.244219
0.01847	0.245938
0.01848	0.245781
0.01848	0.245469
0.01848	0.247813
0.01849	0.2475
0.01849	0.247031
0.0185	0.247031
0.0185	0.248594
0.0185	0.247969
0.01851	0.249219
0.01851	0.252031
0.01852	0.25
0.01852	0.249531
0.01852	0.250313
0.01853	0.252031
0.01853	0.251875
0.01854	0.250781
0.01854	0.249844
0.01854	0.251563
0.01855	0.252031
0.01855	0.252656
0.01856	0.254375
0.01856	0.254688
0.01856	0.255938
0.01857	0.255156
0.01857	0.255313
0.01858	0.255938
0.01858	0.257188
0.01858	0.256875
0.01859	0.256094
0.01859	0.255625
0.0186	0.255156
0.0186	0.255938
0.0186	0.258125
0.01861	0.260938
0.01861	0.261719
0.01862	0.260469
0.01862	0.262031
0.01862	0.2625
0.01863	0.260938
0.01863	0.264219
0.01864	0.262188
0.01864	0.261719
0.01864	0.263281
0.01865	0.263438
0.01865	0.264844
0.01866	0.264844
0.01866	0.266563
0.01866	0.269844
0.01867	0.2675
0.01867	0.265
0.01868	0.265781
0.01868	0.267813
0.01868	0.268125
0.01869	0.267344
0.01869	0.267813
0.0187	0.267813
0.0187	0.268281
0.0187	0.270156
0.01871	0.269531
0.01871	0.270313
0.01872	0.271094
0.01872	0.271563
0.01872	0.273125
0.01873	0.274688
0.01873	0.275469
0.01874	0.275938
0.01874	0.277656
0.01874	0.279531
0.01875	0.278438
0.01875	0.277969
0.01876	0.278281
0.01876	0.277656
0.01876	0.278281
0.01877	0.277969
0.01877	0.27625
0.01878	0.277188
0.01878	0.2775
0.01878	0.277188
0.01879	0.279531
0.01879	0.278438
0.0188	0.27875
0.0188	0.278281
0.0188	0.279688
0.01881	0.280469
0.01881	0.281094
0.01882	0.282031
0.01882	0.2825
0.01882	0.281094
0.01883	0.281719
0.01883	0.281563
0.01884	0.284844
0.01884	0.285156
0.01884	0.285781
0.01885	0.284844
0.01885	0.284531
0.01886	0.285625
0.01886	0.285625
0.01886	0.285781
0.01887	0.287188
0.01887	0.287656
0.01888	0.287656
0.01888	0.288125
0.01888	0.288438
0.01889	0.288594
0.01889	0.288438
0.0189	0.289688
0.0189	0.290625
0.0189	0.291406
0.01891	0.295
0.01891	0.295
0.01892	0.294219
0.01892	0.296563
0.01892	0.295938
0.01893	0.293281
0.01893	0.293438
0.01894	0.295
0.01894	0.296563
0.01894	0.2975
0.01895	0.297969
0.01895	0.297813
0.01896	0.299063
0.01896	0.299531
0.01896	0.299375
0.01897	0.300781
0.01897	0.299375
0.01898	0.3
0.01898	0.301406
0.01898	0.300781
0.01899	0.3
0.01899	0.299531
0.019	0.300625
0.019	0.301406
0.019	0.301875
0.01901	0.303906
0.01901	0.303438
0.01902	0.304375
0.01902	0.304063
0.01902	0.305156
0.01903	0.305469
0.01903	0.305938
0.01904	0.305938
0.01904	0.306406
0.01904	0.306406
0.01905	0.307969
0.01905	0.306406
0.01906	0.309688
0.01906	0.30875
0.01906	0.309531
0.01907	0.310156
0.01907	0.310938
0.01908	0.311719
0.01908	0.31375
0.01908	0.313281
0.01909	0.312813
0.01909	0.314844
0.0191	0.312813
0.0191	0.314063
0.0191	0.315
0.01911	0.312813
0.01911	0.314219
0.01912	0.314219
0.01912	0.315313
0.01912	0.314219
0.01913	0.314219
0.01913	0.314219
0.01914	0.315625
0.01914	0.320312
0.01914	0.321094
0.01915	0.321719
0.01915	0.320312
0.01916	0.319063
0.01916	0.318281
0.01916	0.320938
0.01917	0.321406
0.01917	0.321875
0.01918	0.324219
0.01918	0.325
0.01918	0.323906
0.01919	0.324375
0.01919	0.323906
0.0192	0.323438
0.0192	0.324375
0.0192	0.325
0.01921	0.325469
0.01921	0.327031
0.01922	0.327031
0.01922	0.327969
0.01922	0.3275
0.01923	0.327969
0.01923	0.330313
0.01924	0.329219
0.01924	0.329844
0.01924	0.33
0.01925	0.33125
0.01925	0.331875
0.01926	0.330469
0.01926	0.33125
0.01926	0.334531
0.01927	0.333125
0.01927	0.333281
0.01928	0.337344
0.01928	0.338594
0.01928	0.336875
0.01929	0.337656
0.01929	0.336563
0.0193	0.335156
0.0193	0.335156
0.0193	0.336563
0.01931	0.338125
0.01931	0.338125
0.01932	0.336563
0.01932	0.338906
0.01932	0.340938
0.01933	0.34125
0.01933	0.342031
0.01934	0.341406
0.01934	0.3425
0.01934	0.34125
0.01935	0.339688
0.01935	0.34
0.01936	0.342031
0.01936	0.342031
0.01936	0.342656
0.01937	0.343438
0.01937	0.344219
0.01938	0.34375
0.01938	0.344688
0.01938	0.344219
0.01939	0.345
0.01939	0.34375
0.0194	0.3425
0.0194	0.344063
