Time	Current
2.86E-01	0.866094
2.87E-01	0.749063
2.88E-01	0.760234
2.90E-01	0.887031
2.91E-01	1.11555
2.92E-01	1.34531
2.92E-01	1.47242
2.93E-01	1.45109
2.94E-01	1.30688
2.95E-01	1.0857
2.96E-01	0.864922
2.97E-01	0.751797
2.98E-01	0.757891
3.00E-01	0.87875
3.01E-01	1.0993
3.02E-01	1.32883
3.03E-01	1.45602
3.03E-01	1.43977
3.04E-01	1.30063
3.05E-01	1.08266
3.06E-01	0.865234
3.07E-01	0.749531
3.08E-01	0.756563
3.10E-01	0.879063
3.11E-01	1.105
3.12E-01	1.3418
3.13E-01	1.46492
3.13E-01	1.43586
3.14E-01	1.28797
3.15E-01	1.06859
3.16E-01	0.856563
3.17E-01	0.745
3.19E-01	0.761953
3.20E-01	0.902266
3.21E-01	1.12875
3.22E-01	1.36289
3.23E-01	1.48117
3.23E-01	1.44195
3.24E-01	1.28414
3.25E-01	1.06352
3.26E-01	0.852266
3.28E-01	0.745469
3.29E-01	0.765938
3.30E-01	0.895391
3.31E-01	1.11609
3.32E-01	1.34813
3.33E-01	1.46578
3.34E-01	1.43836
3.35E-01	1.28492
3.36E-01	1.0625
3.37E-01	0.851094
3.38E-01	0.749766
3.39E-01	0.770625
3.40E-01	0.915
3.41E-01	1.14219
3.42E-01	1.36883
3.43E-01	1.48133
3.44E-01	1.43875
3.45E-01	1.2857
3.46E-01	1.06109
3.47E-01	0.849063
3.48E-01	0.747266
3.49E-01	0.766797
3.50E-01	0.898047
3.51E-01	1.11711
3.52E-01	1.34484
3.53E-01	1.4582
3.54E-01	1.4282
3.55E-01	1.27414
3.56E-01	1.05578
3.57E-01	0.848672
3.58E-01	0.747422
3.59E-01	0.770078
3.60E-01	0.904141
3.61E-01	1.12555
3.62E-01	1.35586
3.63E-01	1.47242
3.64E-01	1.43094
3.65E-01	1.26953
3.66E-01	1.05156
3.67E-01	0.845391
3.68E-01	0.746875
3.69E-01	0.771016
3.70E-01	0.913594
3.71E-01	1.14703
3.72E-01	1.37109
3.73E-01	1.47055
3.74E-01	1.41734
3.75E-01	1.25773
3.76E-01	1.04102
3.77E-01	0.837813
3.78E-01	0.742656
3.79E-01	0.773672
3.80E-01	0.925
3.81E-01	1.16516
3.82E-01	1.38016
3.83E-01	1.48219
3.84E-01	1.42734
3.85E-01	1.26602
3.86E-01	1.04219
3.87E-01	0.838516
3.88E-01	0.744609
3.89E-01	0.775547
3.90E-01	0.926484
3.91E-01	1.14688
3.92E-01	1.37188
3.93E-01	1.47836
3.94E-01	1.42773
3.95E-01	1.26297
3.96E-01	1.03961
3.97E-01	0.839297
3.98E-01	0.747266
3.99E-01	0.776719
4.00E-01	0.915078
4.01E-01	1.13688
4.02E-01	1.36289
4.03E-01	1.48156
4.04E-01	1.435
4.05E-01	1.26867
4.06E-01	1.04063
4.07E-01	0.837891
4.08E-01	0.747109
4.09E-01	0.774844
4.10E-01	0.92625
4.11E-01	1.15656
4.12E-01	1.38289
4.13E-01	1.48883
4.14E-01	1.43523
4.15E-01	1.27078
4.16E-01	1.04242
4.17E-01	0.840078
4.18E-01	0.747891
4.19E-01	0.770469
4.20E-01	0.918281
4.21E-01	1.1418
4.22E-01	1.36625
4.23E-01	1.47484
4.24E-01	1.41758
4.25E-01	1.25148
4.26E-01	1.03047
4.27E-01	0.83
4.28E-01	0.744688
4.29E-01	0.780625
4.30E-01	0.931719
4.31E-01	1.16125
4.32E-01	1.38016
4.33E-01	1.47508
4.34E-01	1.41555
4.35E-01	1.24875
4.36E-01	1.02391
4.37E-01	0.824453
4.38E-01	0.744453
4.39E-01	0.787031
4.40E-01	0.952578
4.41E-01	1.18844
4.42E-01	1.38953
4.43E-01	1.46852
4.44E-01	1.41023
4.45E-01	1.24211
4.46E-01	1.01641
4.47E-01	0.824844
4.48E-01	0.743359
4.49E-01	0.784609
4.50E-01	0.941719
4.51E-01	1.17734
4.52E-01	1.38492
4.53E-01	1.47852
4.54E-01	1.42711
4.55E-01	1.25102
4.56E-01	1.02266
4.57E-01	0.826953
4.58E-01	0.749141
4.59E-01	0.786641
4.60E-01	0.944063
4.61E-01	1.17344
4.62E-01	1.38531
4.63E-01	1.48664
4.64E-01	1.43117
4.65E-01	1.26398
4.66E-01	1.03008
4.67E-01	0.830391
4.68E-01	0.748125
4.69E-01	0.782266
4.70E-01	0.936797
4.71E-01	1.18195
4.72E-01	1.39422
4.73E-01	1.48234
4.74E-01	1.41695
4.75E-01	1.24508
4.76E-01	1.01586
4.77E-01	0.824297
4.78E-01	0.744063
4.79E-01	0.779219
4.80E-01	0.944063
4.81E-01	1.18141
4.82E-01	1.39164
4.83E-01	1.46734
4.84E-01	1.39336
4.85E-01	1.22578
4.86E-01	1.00305
4.87E-01	0.812266
4.88E-01	0.741563
4.89E-01	0.797031
4.90E-01	0.967031
4.91E-01	1.20953
4.92E-01	1.4168
4.93E-01	1.49047
4.94E-01	1.41148
4.95E-01	1.23086
4.96E-01	1.00625
4.97E-01	0.815703
4.98E-01	0.740781
4.99E-01	0.789531
5.00E-01	0.953672
5.01E-01	1.18133
5.02E-01	1.37781
5.03E-01	1.45734
5.04E-01	1.3975
5.05E-01	1.22891
5.06E-01	1.00359
5.07E-01	0.813281
5.08E-01	0.744844
5.09E-01	0.801484
5.10E-01	0.969531
5.11E-01	1.20961
5.12E-01	1.41109
5.13E-01	1.48539
5.14E-01	1.41266
5.15E-01	1.22992
5.16E-01	1.0018
5.17E-01	0.810859
5.18E-01	0.743359
5.19E-01	0.792813
5.20E-01	0.951172
5.21E-01	1.18141
5.22E-01	1.39438
5.23E-01	1.48867
5.24E-01	1.42391
5.25E-01	1.24711
5.26E-01	1.00992
5.27E-01	0.818516
5.28E-01	0.749063
5.29E-01	0.796016
5.30E-01	0.96
5.31E-01	1.19359
5.32E-01	1.40133
5.33E-01	1.48383
5.34E-01	1.4032
5.35E-01	1.21914
5.36E-01	0.995469
5.37E-01	0.807422
5.38E-01	0.740625
5.39E-01	0.787734
5.40E-01	0.954063
5.41E-01	1.18719
5.42E-01	1.38352
5.43E-01	1.4482
5.44E-01	1.37672
5.45E-01	1.19969
5.46E-01	0.981719
5.47E-01	0.800547
5.48E-01	0.74
5.49E-01	0.792578
5.50E-01	0.970547
5.51E-01	1.21383
5.52E-01	1.41594
5.53E-01	1.48664
5.54E-01	1.40484
5.55E-01	1.2193
5.56E-01	0.985391
5.57E-01	0.8025
5.58E-01	0.742344
5.59E-01	0.798906
5.60E-01	0.973594
5.61E-01	1.21125
5.62E-01	1.40891
5.63E-01	1.48133
5.64E-01	1.39867
5.65E-01	1.2082
5.66E-01	0.984375
5.67E-01	0.801563
5.68E-01	0.742031
5.69E-01	0.795625
5.70E-01	0.973906
5.71E-01	1.21688
5.72E-01	1.42734
5.73E-01	1.50734
5.74E-01	1.4257
5.75E-01	1.23016
5.76E-01	0.992266
5.77E-01	0.806406
5.78E-01	0.746719
5.79E-01	0.800234
5.80E-01	0.971172
5.81E-01	1.20938
5.82E-01	1.41617
5.83E-01	1.50102
5.84E-01	1.42242
5.85E-01	1.2307
5.86E-01	0.990625
5.87E-01	0.807656
5.88E-01	0.742188
5.89E-01	0.794375
5.90E-01	0.964063
5.91E-01	1.1968
5.92E-01	1.40148
5.93E-01	1.47188
5.94E-01	1.38836
5.95E-01	1.19563
5.96E-01	0.974766
5.97E-01	0.795625
5.98E-01	0.740391
5.99E-01	0.803281
6.00E-01	0.986094
6.01E-01	1.22484
6.02E-01	1.42008
6.03E-01	1.48484
6.04E-01	1.39609
6.05E-01	1.20516
6.06E-01	0.97375
6.07E-01	0.795234
6.08E-01	0.743672
6.09E-01	0.809063
6.10E-01	0.985703
6.11E-01	1.21938
6.12E-01	1.40992
6.13E-01	1.48258
6.14E-01	1.40031
6.15E-01	1.20797
6.16E-01	0.971563
6.17E-01	0.795391
6.18E-01	0.741172
6.19E-01	0.804922
6.20E-01	0.981875
6.21E-01	1.22406
6.22E-01	1.41617
6.23E-01	1.47594
6.24E-01	1.39336
6.25E-01	1.19797
6.26E-01	0.967266
6.27E-01	0.791797
6.28E-01	0.745859
6.29E-01	0.8125
6.30E-01	1.00141
6.31E-01	1.23563
6.32E-01	1.42734
6.33E-01	1.48813
6.34E-01	1.4007
6.35E-01	1.20273
6.36E-01	0.970703
6.37E-01	0.791094
6.38E-01	0.742031
6.39E-01	0.804375
6.40E-01	0.983125
6.41E-01	1.21977
6.42E-01	1.41109
6.43E-01	1.47305
6.44E-01	1.38758
6.45E-01	1.19531
6.46E-01	0.960391
6.47E-01	0.788906
6.48E-01	0.739141
6.49E-01	0.802969
6.50E-01	0.991484
6.51E-01	1.24211
6.52E-01	1.43547
6.53E-01	1.4875
6.54E-01	1.38688
6.55E-01	1.18375
6.56E-01	0.952578
6.57E-01	0.782656
6.58E-01	0.742344
6.59E-01	0.815156
6.60E-01	1.01484
6.61E-01	1.26
6.62E-01	1.43508
6.63E-01	1.47484
6.64E-01	1.37531
6.65E-01	1.17664
6.66E-01	0.945547
6.67E-01	0.777891
6.68E-01	0.738906
6.69E-01	0.817188
6.70E-01	1.00727
6.71E-01	1.24164
6.72E-01	1.42047
6.73E-01	1.45844
6.74E-01	1.36352
6.75E-01	1.16953
6.76E-01	0.937344
6.77E-01	0.775547
6.78E-01	0.738906
6.79E-01	0.823438
6.80E-01	1.02164
6.81E-01	1.26461
6.82E-01	1.4393
6.83E-01	1.47242
6.84E-01	1.36461
6.85E-01	1.1682
6.86E-01	0.936563
6.87E-01	0.773438
6.88E-01	0.740547
6.89E-01	0.822188
6.90E-01	1.01844
6.91E-01	1.26398
6.92E-01	1.44477
6.93E-01	1.48945
6.94E-01	1.38164
6.95E-01	1.17711
6.96E-01	0.938359
6.97E-01	0.776094
6.98E-01	0.740391
6.99E-01	0.813906
7.00E-01	1.00398
7.01E-01	1.24555
7.02E-01	1.43258
7.03E-01	1.47977
7.04E-01	1.37813
7.05E-01	1.17734
7.06E-01	0.939375
7.07E-01	0.777344
7.08E-01	0.742813
7.09E-01	0.82875
7.10E-01	1.02742
7.11E-01	1.2732
7.12E-01	1.44586
7.13E-01	1.47711
7.14E-01	1.36664
7.15E-01	1.16227
7.16E-01	0.928828
7.17E-01	0.768828
7.18E-01	0.740547
7.19E-01	0.830938
7.20E-01	1.03555
7.21E-01	1.27727
7.22E-01	1.44766
7.23E-01	1.46859
7.24E-01	1.35422
7.25E-01	1.15328
7.26E-01	0.91625
7.27E-01	0.763359
7.28E-01	0.740625
7.29E-01	0.836406
7.30E-01	1.04117
7.31E-01	1.28875
7.32E-01	1.45805
7.33E-01	1.49398
7.34E-01	1.38102
7.35E-01	1.17078
7.36E-01	0.927422
7.37E-01	0.770078
7.38E-01	0.744609
7.39E-01	0.833594
7.40E-01	1.03102
7.41E-01	1.26508
7.42E-01	1.43805
7.43E-01	1.47328
7.44E-01	1.36516
7.45E-01	1.16078
7.46E-01	0.918906
7.47E-01	0.766953
7.48E-01	0.739766
7.49E-01	0.824844
7.50E-01	1.02617
7.51E-01	1.27258
7.52E-01	1.45578
7.53E-01	1.50305
7.54E-01	1.38773
7.55E-01	1.17383
7.56E-01	0.927891
