Time	Duty
5.97E-01	40%
5.98E-01	43%
5.99E-01	46%
6.00E-01	47%
6.01E-01	48%
6.02E-01	48%
6.03E-01	45%
6.04E-01	41%
6.05E-01	40%
6.06E-01	40%
6.07E-01	41%
6.08E-01	44%
6.09E-01	46%
6.10E-01	47%
6.11E-01	47%
6.12E-01	48%
6.13E-01	46%
6.14E-01	41%
6.15E-01	40%
6.16E-01	40%
6.17E-01	41%
6.18E-01	42%
6.19E-01	46%
6.20E-01	47%
6.21E-01	48%
6.22E-01	47%
6.23E-01	45%
6.24E-01	41%
6.25E-01	40%
6.26E-01	40%
6.27E-01	42%
6.28E-01	44%
6.29E-01	46%
6.30E-01	48%
6.31E-01	47%
6.32E-01	48%
6.33E-01	45%
6.34E-01	41%
6.35E-01	41%
6.36E-01	40%
6.37E-01	41%
6.38E-01	42%
6.39E-01	45%
6.40E-01	47%
6.41E-01	48%
6.42E-01	47%
6.43E-01	45%
6.44E-01	41%
6.45E-01	40%
6.46E-01	40%
6.47E-01	40%
6.48E-01	42%
6.49E-01	45%
6.50E-01	48%
6.51E-01	49%
6.52E-01	48%
6.53E-01	44%
6.54E-01	40%
6.55E-01	40%
6.56E-01	40%
6.57E-01	41%
6.58E-01	45%
6.59E-01	47%
6.60E-01	48%
6.61E-01	48%
6.62E-01	46%
6.63E-01	44%
6.64E-01	40%
6.65E-01	40%
6.66E-01	40%
6.67E-01	40%
6.68E-01	44%
6.69E-01	47%
6.70E-01	47%
6.71E-01	48%
6.72E-01	46%
6.73E-01	44%
6.74E-01	41%
6.75E-01	40%
6.76E-01	41%
6.77E-01	42%
6.78E-01	44%
6.79E-01	47%
6.80E-01	48%
6.81E-01	48%
6.82E-01	47%
6.83E-01	43%
6.84E-01	41%
6.85E-01	40%
6.86E-01	40%
6.87E-01	41%
6.88E-01	44%
6.89E-01	47%
6.90E-01	48%
6.91E-01	48%
6.92E-01	47%
6.93E-01	44%
6.94E-01	41%
6.95E-01	40%
6.96E-01	40%
6.97E-01	41%
6.98E-01	42%
6.99E-01	46%
7.00E-01	47%
7.01E-01	48%
7.02E-01	48%
