Time	Duty
0   0%
0.61141800	73%
0.61241000	73%
0.61340000	73%
0.61439000	73%
0.61538200	73%
0.61637200	73%
0.61736200	73%
0.61835400	73%
0.61934400	73%
0.62033600	73%
0.62132600	73%
0.62231600	73%
0.62330800	73%
0.62429800	73%
0.62528800	73%
0.62628000	73%
0.62727000	73%
0.62826200	73%
0.62925200	73%
0.63024200	73%
0.63123400	73%
0.63222400	73%
0.63321400	73%
0.63420400	73%
0.63519600	73%
0.63618600	73%
0.63717600	73%
0.63816800	73%
0.63915800	73%
0.64014800	73%
0.64114000	73%
0.64213000	73%
0.64312000	73%
0.64411200	73%
0.64510200	73%
0.64609200	73%
0.64708400	73%
0.64807400	73%
0.64906600	73%
0.65005600	73%
0.65104800	73%
0.65203800	73%
0.65302800	73%
0.65402000	73%
0.65501000	73%
0.65600200	73%
0.65699200	73%
0.65798400	73%
0.65897400	73%
0.65996400	73%
0.66095600	73%
0.66194600	73%
0.66293600	73%
0.66392800	73%
0.66491800	73%
0.66590800	73%
0.66690000	73%
0.66789000	73%
0.66888200	73%
0.66987200	73%
0.67086200	73%
0.67185400	73%
0.67284400	73%
0.67383600	73%
0.67482600	73%
0.67581800	73%
0.67680800	73%
0.67780000	73%
0.67879000	73%
0.67978000	73%
0.68077200	73%
0.68176200	73%
0.68275400	73%
0.68374400	73%
0.68473600	73%
0.68572600	73%
0.68671800	73%
0.68770800	73%
0.68869800	73%
0.68969000	73%
0.69068000	73%
0.69167200	73%
0.69266200	73%
0.69365200	73%
0.69464400	73%
0.69563400	73%
0.69662600	73%
0.69761600	73%
0.69860600	73%
0.69959800	73%
0.70058800	73%
0.70158000	73%
0.70257000	73%
0.70356000	73%
0.70455200	73%
0.70554200	73%
0.70653400	73%
0.70752400	73%
0.70851600	73%
0.70950600	73%
0.71049800	73%
0.71148800	73%
0.71248000	73%
0.71347000	73%
0.71446200	73%
0.71545200	73%
0.71644400	73%
0.71743400	73%
0.71842400	73%
0.71941600	73%
0.72040600	73%
0.72139800	73%
0.72239000	73%
0.72338000	73%
0.72437200	73%
0.72536200	73%
0.72635400	73%
0.72734400	73%
0.72833600	73%
0.72932600	73%
0.73031600	73%
0.73130800	73%
0.73229800	73%
0.73329000	73%
0.73428000	73%
0.73527200	73%
0.73626200	73%
0.73725200	73%
0.73824400	73%
0.73923400	73%
0.74022600	73%
0.74121600	73%
0.74220800	73%
0.74319800	73%
0.74418800	73%
0.74518000	73%
0.74617000	73%
0.74716200	73%
0.74815200	73%
0.74914400	73%
0.75013400	73%
0.75112600	73%
0.75211600	73%
0.75310600	73%
0.75409800	73%
0.75508800	73%
0.75608000	73%
0.75707000	73%
0.75806200	73%
0.75905200	73%
0.76004400	73%
0.76103400	73%
0.76202600	73%
0.76301600	73%
0.76400800	73%
0.76499800	73%
0.76598800	73%
0.76698000	73%
0.76797000	73%
0.76896200	73%
0.76995200	73%
0.77094400	73%
0.77193400	73%
0.77292600	73%
0.77391600	73%
0.77490800	73%
0.77589800	73%
0.77689000	73%
0.77788200	73%
0.77887200	73%
0.77986200	73%
0.78085400	73%
0.78184400	73%
0.78283600	73%
0.78382600	73%
0.78481800	83%
0.78596000	100%
0.78794200	100%
0.78992400	100%
0.79190600	100%
0.79388800	100%
0.79487800	100%
0.79587000	100%
0.79686000	100%
0.79884200	100%
0.79983400	100%
0.80082400	100%
0.80280600	100%
0.80478800	100%
0.80577800	100%
0.80677000	100%
0.80776000	100%
0.80974200	100%
0.81172400	100%
0.81271400	100%
0.81370600	100%
0.81469600	100%
0.81482600	0%
0.81482600	
